Marca temporal,¿Cómo preferís aprender en este contexto?,¿Creés que Teams es la plataforma indicada?,¿Cómo llegas al colegio?,¿En qué año estas?
2021/06/17 2:47:08 p. m. GMT-3,Virtual,Sí,Caminando,3° año
2021/06/17 2:48:15 p. m. GMT-3,Virtual,Sí,Bicicleta,3° año
2021/06/17 2:49:40 p. m. GMT-3,Presencial,Sí,Caminando,3° año
2021/06/17 2:50:45 p. m. GMT-3,Virtual,Sí,Bicicleta,5° año COMPUTACIÓN
2021/06/17 2:51:39 p. m. GMT-3,Presencial,Sí,Bicicleta,3° año
2021/06/17 2:51:55 p. m. GMT-3,Bimodal ,Sí,Auto,1° año
2021/06/17 2:52:38 p. m. GMT-3,Presencial,Sí,Caminando,1° año
2021/06/17 3:05:48 p. m. GMT-3,Presencial,Sí,Auto,1° año
2021/06/17 3:06:30 p. m. GMT-3,Bimodal ,Sí,Auto,1° año
2021/06/17 3:06:46 p. m. GMT-3,Virtual,Sí,Auto,3° año
2021/06/17 3:07:35 p. m. GMT-3,Bimodal ,Sí,Auto,1° año
2021/06/17 3:09:11 p. m. GMT-3,Virtual,Sí,Bicicleta,2° año
2021/06/17 3:09:12 p. m. GMT-3,Presencial,Sí,Bicicleta,3° año
2021/06/17 3:20:08 p. m. GMT-3,Presencial,Sí,Auto,2° año
2021/06/17 3:23:45 p. m. GMT-3,Presencial,Sí,Auto,1° año
2021/06/17 3:26:11 p. m. GMT-3,Bimodal ,Sí,Caminando,3° año
2021/06/17 3:33:09 p. m. GMT-3,Presencial,Sí,Auto,1° año
2021/06/17 3:53:27 p. m. GMT-3,Bimodal ,Sí,Auto,3° año
2021/06/17 4:07:26 p. m. GMT-3,Bimodal ,Sí,Auto,2° año
2021/06/17 4:07:48 p. m. GMT-3,Presencial,Sí,Caminando,2° año
2021/06/17 4:12:27 p. m. GMT-3,Virtual,Sí,Auto,1° año
2021/06/17 4:30:16 p. m. GMT-3,Presencial,Sí,Auto,3° año
2021/06/17 4:34:41 p. m. GMT-3,Bimodal ,Sí,Transporte público,1° año
2021/06/17 4:35:49 p. m. GMT-3,Presencial,Sí,Bicicleta,1° año
2021/06/17 4:41:37 p. m. GMT-3,Presencial,Sí,Transporte público,2° año
2021/06/17 5:25:23 p. m. GMT-3,Presencial,Sí,Caminando,1° año
2021/06/17 5:32:30 p. m. GMT-3,Presencial,Sí,Auto,1° año
2021/06/17 6:01:52 p. m. GMT-3,Bimodal ,Sí,Caminando,4° año COMPUTACIÓN
2021/06/17 6:15:57 p. m. GMT-3,Presencial,Sí,Auto,1° año
2021/06/17 6:20:07 p. m. GMT-3,Presencial,Sí,Auto,3° año
2021/06/17 6:20:16 p. m. GMT-3,Virtual,Sí,Auto,1° año
2021/06/17 6:53:36 p. m. GMT-3,Bimodal ,Sí,Auto,1° año
2021/06/17 6:56:34 p. m. GMT-3,Presencial,Sí,Auto,5° año MECÁNICA
2021/06/17 7:03:48 p. m. GMT-3,Virtual,Sí,Auto,1° año
2021/06/17 7:30:34 p. m. GMT-3,Presencial,Sí,Auto,1° año
2021/06/17 7:32:50 p. m. GMT-3,Bimodal ,Sí,Transporte público,1° año
2021/06/17 7:42:52 p. m. GMT-3,Virtual,Sí,Auto,4° año COMPUTACIÓN
2021/06/17 7:54:19 p. m. GMT-3,Bimodal ,Sí,Transporte público,1° año
2021/06/17 7:57:03 p. m. GMT-3,Presencial,Sí,Transporte público,1° año
2021/06/17 8:03:17 p. m. GMT-3,Bimodal ,Sí,Auto,3° año
2021/06/17 8:14:01 p. m. GMT-3,Presencial,Sí,Transporte público,1° año
2021/06/17 8:18:56 p. m. GMT-3,Bimodal ,Sí,Bicicleta,6° año COMPUTACIÓN
2021/06/17 8:20:31 p. m. GMT-3,Virtual,Sí,Transporte público,6° año COMPUTACIÓN
2021/06/17 8:21:09 p. m. GMT-3,Bimodal ,Sí,Bicicleta,6° año COMPUTACIÓN
2021/06/17 8:22:33 p. m. GMT-3,Presencial,Sí,Auto,4° año COMPUTACIÓN
2021/06/17 8:22:45 p. m. GMT-3,Presencial,Sí,Caminando,6° año COMPUTACIÓN
2021/06/17 8:43:15 p. m. GMT-3,Bimodal ,Sí,Auto,3° año
2021/06/17 9:01:58 p. m. GMT-3,Presencial,Sí,Auto,6° año MECÁNICA
2021/06/17 9:32:47 p. m. GMT-3,Presencial,Sí,Caminando,6° año COMPUTACIÓN
2021/06/17 9:43:46 p. m. GMT-3,Bimodal ,Sí,Auto,1° año
2021/06/17 10:00:25 p. m. GMT-3,Presencial,Sí,Auto,1° año
2021/06/17 10:00:49 p. m. GMT-3,Presencial,Sí,Auto,1° año
2021/06/17 10:15:15 p. m. GMT-3,Presencial,No,Auto,1° año
2021/06/17 10:35:56 p. m. GMT-3,Bimodal ,Sí,Auto,2° año
2021/06/17 11:53:06 p. m. GMT-3,Virtual,Sí,Transporte público,3° año
2021/06/17 11:56:15 p. m. GMT-3,Bimodal ,Sí,Transporte público,6° año COMPUTACIÓN
2021/06/18 7:44:42 a. m. GMT-3,Bimodal ,Sí,Caminando,1° año
2021/06/18 7:48:41 a. m. GMT-3,Presencial,Sí,Auto,1° año
2021/06/18 7:56:30 a. m. GMT-3,Virtual,Sí,Auto,4° año MECÁNICA
2021/06/18 7:58:20 a. m. GMT-3,Presencial,Sí,Auto,4° año MECÁNICA
2021/06/18 7:58:32 a. m. GMT-3,Bimodal ,No,Auto,1° año
2021/06/18 7:58:46 a. m. GMT-3,Presencial,Sí,Transporte público,4° año MECÁNICA
2021/06/18 8:01:39 a. m. GMT-3,Bimodal ,Sí,Bicicleta,4° año MECÁNICA
2021/06/18 8:12:39 a. m. GMT-3,Presencial,Sí,Auto,4° año MECÁNICA
2021/06/18 8:19:26 a. m. GMT-3,Presencial,Sí,Auto,4° año MECÁNICA
2021/06/18 8:20:49 a. m. GMT-3,Presencial,Sí,Auto,1° año
2021/06/18 8:22:43 a. m. GMT-3,Presencial,Sí,Bicicleta,5° año MECÁNICA
2021/06/18 8:38:01 a. m. GMT-3,Presencial,Sí,Transporte público,4° año MECÁNICA
2021/06/18 8:39:36 a. m. GMT-3,Bimodal ,Sí,Auto,1° año
2021/06/18 8:40:30 a. m. GMT-3,Bimodal ,Sí,Caminando,4° año MECÁNICA
2021/06/18 9:50:13 a. m. GMT-3,Presencial,Sí,Auto,4° año MECÁNICA
2021/06/18 12:27:44 p. m. GMT-3,Presencial,Sí,Auto,4° año MECÁNICA
2021/06/18 2:33:20 p. m. GMT-3,Presencial,Sí,Auto,6° año MECÁNICA
2021/06/18 2:43:09 p. m. GMT-3,Presencial,Sí,Caminando,2° año
2021/06/18 4:51:40 p. m. GMT-3,Presencial,Sí,Bicicleta,4° año MECÁNICA
2021/06/18 8:18:39 p. m. GMT-3,Virtual,Sí,Transporte público,4° año MECÁNICA
2021/06/18 8:18:56 p. m. GMT-3,Virtual,Sí,Auto,4° año MECÁNICA
2021/06/19 12:14:19 p. m. GMT-3,Presencial,Sí,Auto,1° año
2021/06/19 7:31:55 p. m. GMT-3,Presencial,No,Auto,4° año COMPUTACIÓN
2021/06/19 9:07:17 p. m. GMT-3,Bimodal ,Sí,Auto,1° año
2021/06/20 11:42:02 a. m. GMT-3,Presencial,Sí,Bicicleta,3° año
2021/06/21 1:23:18 p. m. GMT-3,Bimodal ,Sí,Auto,2° año
2021/06/21 5:43:17 p. m. GMT-3,Bimodal ,Sí,Bicicleta,1° año
2021/06/22 7:42:36 a. m. GMT-3,Presencial,Sí,Auto,1° año
2021/06/22 9:12:02 a. m. GMT-3,Bimodal ,Sí,Auto,4° año COMPUTACIÓN
2021/06/22 10:29:28 a. m. GMT-3,Virtual,Sí,Caminando,4° año MECÁNICA
2021/06/22 10:30:49 a. m. GMT-3,Presencial,No,Auto,4° año MECÁNICA
2021/06/22 12:09:06 p. m. GMT-3,Presencial,Sí,Caminando,5° año MECÁNICA
2021/06/22 12:42:50 p. m. GMT-3,Bimodal ,Sí,Auto,1° año
2021/06/22 7:32:16 p. m. GMT-3,Bimodal ,Sí,Caminando,3° año
2021/06/23 7:30:31 p. m. GMT-3,Presencial,Sí,Bicicleta,2° año
2021/06/23 8:26:49 p. m. GMT-3,Presencial,Sí,Caminando,6° año COMPUTACIÓN
2021/06/23 9:21:33 p. m. GMT-3,Bimodal ,Sí,Caminando,6° año COMPUTACIÓN
2021/06/23 9:54:35 p. m. GMT-3,Virtual,Sí,Auto,6° año COMPUTACIÓN
2021/06/23 10:13:39 p. m. GMT-3,Bimodal ,Sí,Auto,6° año COMPUTACIÓN
2021/06/23 10:21:40 p. m. GMT-3,Virtual,Sí,Auto,6° año COMPUTACIÓN
